status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,year
for_sale,1449941.0,4.0,5.0,0.11,"941 Sheldon Ave, Staten Island, NY, 10309",941 Sheldon Ave,Staten Island,New York,10309.0,3300.0,2011-03-04,2011
for_sale,1400000.0,3.0,3.0,0.04,"8225 7th Ave, Brooklyn, NY, 11228",8225 7th Ave,Brooklyn,New York,11228.0,1440.0,2014-05-15,2014
for_sale,400000.0,3.0,2.0,0.11,"176 Clinton Ave, Keasbey, NJ, 08832",176 Clinton Ave,Keasbey,New Jersey,8832.0,1596.0,2015-05-11,2015
for_sale,249000.0,2.0,2.0,0.01,"1007 Hidden Village Dr, Perth Amboy, NJ, 08861",1007 Hidden Village Dr,Perth Amboy,New Jersey,8861.0,1118.0,2022-01-31,2022
for_sale,319900.0,2.0,2.0,0.06,"70 Percival Ct, Old Bridge, NJ, 08857",70 Percival Ct,Old Bridge,New Jersey,8857.0,1418.0,2007-08-13,2007
for_sale,515000.0,3.0,2.0,0.17,"7 Growney St, Edison, NJ, 08817",7 Growney St,Edison,New Jersey,8817.0,1657.0,2013-11-15,2013
for_sale,539000.0,4.0,3.0,6076.0,"8 Kelly St, Metuchen, NJ, 08840",8 Kelly St,Metuchen,New Jersey,8840.0,1548.0,2018-10-16,2018
for_sale,482000.0,2.0,2.0,0.05,"376 Grandview Ave, Staten Island, NY, 10303",376 Grandview Ave,Staten Island,New York,10303.0,1092.0,2022-02-04,2022
for_sale,689000.0,3.0,2.0,0.06,"331 Mosel Ave, Staten Island, NY, 10304",331 Mosel Ave,Staten Island,New York,10304.0,1500.0,2007-12-05,2007
for_sale,699900.0,9.0,2.0,0.07,"337 Vanderbilt Ave, Staten Island, NY, 10304",337 Vanderbilt Ave,Staten Island,New York,10304.0,2475.0,2017-08-29,2017
for_sale,749999.0,4.0,4.0,0.25,"337 Spotswood Englishtown Rd, Monroe Township, NJ, 08831",337 Spotswood Englishtown Rd,Monroe Township,New Jersey,8831.0,4500.0,2007-07-02,2007
